MOVESRunID,iterationID,yearID,monthID,dayID,hourID,stateID,countyID,zoneID,linkID,pollutantID,processID,sourceTypeID,regClassID,fuelTypeID,fuelSubTypeID,modelYearID,roadTypeID,SCC,engTechID,sectorID,hpID,emissionQuant,emissionQuantMean,emissionQuantSigma
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,32,30,5,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,31,30,5,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,21,20,5,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,47,3,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,47,3,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,47,3,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,47,3,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,47,3,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,47,3,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,42,48,3,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,41,47,3,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,62,49,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,62,47,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,62,46,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,49,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,47,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,46,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,47,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,46,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,42,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,41,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,47,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,46,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,42,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,41,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,47,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,46,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,42,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,41,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,47,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,46,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,42,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,47,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,46,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,42,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,41,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,42,48,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,42,46,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,42,42,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,41,47,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,41,46,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,41,42,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,32,41,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,32,30,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,31,41,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,31,30,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,21,20,2,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,47,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,46,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,47,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,46,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,42,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,41,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,47,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,46,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,42,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,41,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,47,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,46,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,42,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,41,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,47,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,46,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,42,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,41,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,47,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,46,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,42,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,41,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,42,47,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,42,46,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,42,42,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,41,47,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,41,46,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,41,42,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,32,41,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,32,30,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,31,41,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,31,30,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,21,20,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,11,10,1,NA,NA,5,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,32,30,5,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,31,30,5,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,21,20,5,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,47,3,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,47,3,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,47,3,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,47,3,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,47,3,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,47,3,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,42,48,3,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,41,47,3,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,62,49,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,62,47,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,62,46,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,49,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,47,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,46,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,47,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,46,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,42,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,41,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,47,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,46,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,42,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,41,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,47,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,46,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,42,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,52,41,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,47,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,46,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,51,42,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,47,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,46,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,42,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,43,41,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,42,48,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,42,46,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,42,42,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,41,47,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,41,46,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,41,42,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,32,41,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,32,30,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,31,41,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,31,30,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,21,20,2,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,47,1,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,61,46,1,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,47,1,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,46,1,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,42,1,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,54,41,1,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,47,1,NA,NA,4,NA,NA,NA,NA,0,NA,NA
1,1,2020,NA,NA,NA,36,36109,NA,NA,119,NA,53,46,1,NA,NA,4,NA,NA,NA,NA,0,NA,NA
